id,strategy,stations,total_ambulances,completion_time,outstanding_req,idle_ambulances
326,3,5,12,301.54193493723665,126.65945428571428,8.054668571428572
327,3,5,13,236.16294269584873,117.0275557142857,8.984338571428571
328,3,5,14,227.51567813670547,108.02403571428572,10.198288571428572
329,3,5,15,120.99208891102982,50.741685714285715,10.678194285714286
330,3,5,16,88.49020475142524,57.012784285714275,11.59776571428571
331,3,5,17,89.27129742489223,29.92882142857143,12.509898571428572
332,3,5,18,86.8893978042784,21.673571428571428,13.66701142857143
333,3,5,19,90.05194367114247,29.021234285714286,14.615715714285717
334,3,5,20,36.31142372790894,11.55084285714286,15.446215714285715
335,3,5,21,34.341694956956296,8.509971428571427,16.35877142857143
336,3,5,22,28.95043546831867,6.142200000000002,17.398144285714288
337,3,5,23,31.96907759361654,6.666990000000001,18.311795714285715
338,3,5,24,23.452599308084427,9.627482857142859,19.450697142857145
339,3,5,25,20.451802248184393,2.5428442857142857,20.322721428571427
340,3,6,6,238.5751982383748,152.65911571428572,3.2714385714285714
341,3,6,7,239.01363157263685,147.89183285714284,4.284462857142858
342,3,6,8,290.6963083540921,157.4948342857143,5.255694285714285
343,3,6,9,262.26763500343003,167.71005000000005,6.304025714285715
344,3,6,10,257.01332896029896,159.18665285714286,7.238162857142857
345,3,6,11,295.8146283720772,156.92438428571427,8.263127142857142
346,3,6,12,96.95121032341714,59.43871714285714,8.67267857142857
347,3,6,13,118.92706473259608,45.72949428571429,9.711932857142859
348,3,6,14,130.26303500661615,51.14786,10.689632857142856
349,3,6,15,90.93044992514017,40.96996571428572,11.692985714285715
350,3,6,16,97.00212947996587,45.561817142857144,12.73550857142857
351,3,6,17,113.87701918611137,39.684225714285716,13.666184285714285
352,3,6,18,17.910196785062023,5.069968571428571,14.44137
353,3,6,19,26.030269255374446,4.634314285714286,15.458904285714286
354,3,6,20,20.165455239265,3.0718099999999997,16.381654285714287
355,3,6,21,17.328184445661993,6.101707142857143,17.459115714285716
356,3,6,22,16.77871121496188,5.127152857142858,18.38814142857143
357,3,6,23,21.055080639945082,6.112215714285713,19.409915714285713
358,3,6,24,9.080885272553054,0.033955714285714284,20.313159999999996
359,3,6,25,9.161267683843706,0.03708857142857143,21.448905714285726
